Vaccine,Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
IBCG,Small states,87.73755125,86.85868737,87.91106321,90.05132848,91.27638225,92.05472742,91.70184389,92.19141941,92.54289856,91.4379707,91.58659408,91.59475765,93.47879489,93.74749197,93.48042106,93.93458988,93.36716033,93.72409519,93.39518681,92.9659438
IBCG,Solomon Islands,99,94,87,93,99,96,99,98,92,92,91,94,85,82,81,79,80,78,83,77
IBCG,Somalia,69,70,60,65,50,50,40,38,36,29,41,39,37,37,37,37,37,37,37,37
IBCG,South Africa,89,86,84,81,78,76,79,79,84,82,81,84,86,88,93,83,90,75,70,84
IBCG,South Asia,75.20731174,76.80688509,77.3971022,78.44692201,80.68588325,85.30052121,85.33332945,86.02904844,85.22960922,86.55116764,87.24972806,89.39263757,89.63123551,90.2207117,89.04109394,87.77472583,89.20711096,91.2825091,91.44397833,91.59221328
IBCG,South Asia (IDA & IBRD),75.20731174,76.80688509,77.3971022,78.44692201,80.68588325,85.30052121,85.33332945,86.02904844,85.22960922,86.55116764,87.24972806,89.39263757,89.63123551,90.2207117,89.04109394,87.77472583,89.20711096,91.2825091,91.44397833,91.59221328
IBCG,South Sudan,..,..,..,..,..,..,..,..,..,..,..,75,65,58,55,55,52,52,52,52
IBCG,Spain,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,Sri Lanka,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
IBCG,St. Kitts and Nevis,99,95,99,99,89,99,99,97,95,93,91,99,95,94,99,95,96,97,97,99
IBCG,St. Lucia,91,99,95,95,99,97,94,99,99,97,97,99,99,99,89,99,96,88,99,95
IBCG,St. Martin (French part),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,St. Vincent and the Grenadines,99,99,91,87,99,95,99,93,87,80,90,99,97,96,98,99,99,99,99,99
IBCG,Sub-Saharan Africa,67.98502927,67.87740587,67.44340493,69.10794909,71.09617488,73.55434215,75.30122174,77.45912289,80.23941992,83.28549483,81.48092035,78.87521077,79.51486012,76.81702783,77.89712209,76.723353,79.38857237,79.96101726,78.85901902,79.18574575
IBCG,Sub-Saharan Africa (excluding high income),67.98313975,67.87561352,67.44148701,69.10610844,71.0944465,73.55278132,75.29977456,77.45787204,80.23837518,83.28481401,81.48001093,78.87416104,79.51389581,76.81593918,77.89614379,76.72228135,79.38765614,79.96012505,78.85818374,79.18489731
IBCG,Sub-Saharan Africa (IDA & IBRD countries),67.98502927,67.87740587,67.44340493,69.10794909,71.09617488,73.55434215,75.30122174,77.45912289,80.23941992,83.28549483,81.48092035,78.87521077,79.51486012,76.81702783,77.89712209,76.723353,79.38857237,79.96101726,78.85901902,79.18574575
IBCG,Sudan,56,67,65,69,66,72,77,83,88,82,90,92,92,93,95,88,96,97,88,92
IBCG,Suriname,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,Sweden,16,16,16,17,18,20,21,23,23,21,23,23,24,27,26,24,26,25,26,25
IBCG,Switzerland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,Syrian Arab Republic,91,91,90,90,90,90,91,93,93,95,97,90,82,84,81,66,72,78,79,84
IBCG,Tajikistan,98,96,97,98,95,97,93,83,89,82,98,97,97,98,98,98,98,98,99,98
IBCG,Tanzania,86,91,88,91,91,91,90,89,89,93,99,99,99,99,99,97,95,93,91,91
IBCG,Thailand,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
IBCG,Timor-Leste,..,..,75,72,72,70,74,74,85,74,79,79,86,86,79,79,86,95,95,95
IBCG,Togo,84,83,81,79,91,96,96,91,92,91,97,97,97,97,82,93,93,89,97,98
IBCG,Tonga,99,91,95,99,99,99,99,99,99,99,99,99,95,99,99,91,91,99,99,99
IBCG,Trinidad and Tobago,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,Tunisia,95,91,91,93,97,98,99,99,99,98,98,91,96,94,93,96,99,93,93,92
IBCG,Turkey,96,95,89,88,85,88,88,94,96,96,97,96,96,96,95,96,96,93,96,96
IBCG,Turkmenistan,99,99,99,99,99,99,99,99,99,99,99,98,99,98,99,99,98,98,98,98
IBCG,Turks and Caicos Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,Tuvalu,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99
IBCG,Uganda,82,83,85,87,88,90,83,87,86,90,86,97,95,93,91,95,94,89,88,88
IBCG,Ukraine,98,98,98,98,98,96,97,98,95,94,92,90,95,95,39,39,75,84,90,84
IBCG,United Arab Emirates,98,98,98,98,98,98,98,98,98,98,98,96,94,94,90,96,99,95,95,94
IBCG,United Kingdom,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,United States,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,Upper middle income,89.75407735,89.70873241,89.63587056,90.16941697,90.17030982,90.42306809,93.74623729,94.83072209,96.5142419,97.43412683,97.23655314,97.25390328,97.69631205,97.05128388,97.61557387,97.19172128,96.32589684,95.63925719,95.57850792,93.54954348
IBCG,Uruguay,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,98,98,98,98,99
IBCG,Uzbekistan,98,98,99,99,99,93,99,99,96,99,99,99,99,99,99,99,99,99,96,99
IBCG,Vanuatu,79,79,80,80,80,81,81,83,85,86,88,90,92,93,95,95,94,95,94,97
IBCG,"Venezuela, RB",99,93,90,91,96,95,83,82,90,91,92,95,96,95,97,99,97,94,92,91
IBCG,Vietnam,98,97,97,97,96,95,95,94,92,97,94,98,98,95,96,97,95,97,95,96
IBCG,Virgin Islands (U.S.),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBCG,West Bank and Gaza,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
